M,N,K,Batch_Size,Data_Type,TIME,TFLOPS
64,1760,1760,1,torch.float32,0.000027,14.739421
2560,64,2560,1,torch.float32,0.000038,22.092027
1760,128,1760,1,torch.float32,0.000026,29.968677
2560,2560,2560,1,torch.float32,0.000341,98.498629
64,1760,1760,64,torch.float32,0.000652,38.915201
2560,64,2560,64,torch.float32,0.001390,38.625681
1760,128,1760,64,torch.float32,0.000745,68.092038
2560,2560,2560,64,torch.float32,0.019866,108.098583
64,1760,1760,128,torch.float32,0.001235,41.095864
2560,64,2560,128,torch.float32,0.002598,41.324843
1760,128,1760,128,torch.float32,0.001540,65.897635
2560,2560,2560,128,torch.float32,0.039397,109.017172
64,1760,1760,256,torch.float32,0.002449,41.451210
2560,64,2560,256,torch.float32,0.005184,41.424296
1760,128,1760,256,torch.float32,0.003077,65.979095
2560,2560,2560,256,torch.float32,0.080934,106.134468
64,1760,1760,1,torch.float16,0.000026,15.313616
2560,64,2560,1,torch.float16,0.000026,32.339103
1760,128,1760,1,torch.float16,0.000023,33.955139
2560,2560,2560,1,torch.float16,0.000135,248.958541
64,1760,1760,64,torch.float16,0.000366,69.380664
2560,64,2560,64,torch.float16,0.000900,59.669446
1760,128,1760,64,torch.float16,0.000481,105.591960
2560,2560,2560,64,torch.float16,0.008899,241.310471
64,1760,1760,128,torch.float16,0.000665,76.351767
2560,64,2560,128,torch.float16,0.001448,74.176029
1760,128,1760,128,torch.float16,0.001074,94.465657
2560,2560,2560,128,torch.float16,0.017385,247.055102
64,1760,1760,256,torch.float16,0.001285,78.959683
2560,64,2560,256,torch.float16,0.003380,63.529346
1760,128,1760,256,torch.float16,0.002036,99.689340
2560,2560,2560,256,torch.float16,0.034804,246.811124
64,1760,1760,1,torch.bfloat16,0.000027,14.845914
2560,64,2560,1,torch.bfloat16,0.000024,34.535800
1760,128,1760,1,torch.bfloat16,0.000025,31.995456
2560,2560,2560,1,torch.bfloat16,0.000134,250.685181
64,1760,1760,64,torch.bfloat16,0.000365,69.428226
2560,64,2560,64,torch.bfloat16,0.000900,59.669825
1760,128,1760,64,torch.bfloat16,0.000498,101.972044
2560,2560,2560,64,torch.bfloat16,0.008734,245.870456
64,1760,1760,128,torch.bfloat16,0.000666,76.231832
2560,64,2560,128,torch.bfloat16,0.001788,60.068791
1760,128,1760,128,torch.bfloat16,0.000874,116.148887
2560,2560,2560,128,torch.bfloat16,0.017079,251.482814
64,1760,1760,256,torch.bfloat16,0.001284,79.046643
2560,64,2560,256,torch.bfloat16,0.003486,61.596109
1760,128,1760,256,torch.bfloat16,0.002132,95.199163
2560,2560,2560,256,torch.bfloat16,0.034250,250.802172
