M,N,K,Batch_Size,Data_Type,TIME,TFLOPS
512,512,512,1,torch.float32,0.000023,11.872128
1024,1024,1024,1,torch.float32,0.000042,50.626037
1536,1536,1536,1,torch.float32,0.000104,69.712280
2048,2048,2048,1,torch.float32,0.000210,81.630405
2560,2560,2560,1,torch.float32,0.000340,98.613860
3072,3072,3072,1,torch.float32,0.000596,97.218836
3584,3584,3584,1,torch.float32,0.000917,100.388834
4096,4096,4096,1,torch.float32,0.001305,105.288755
4608,4608,4608,1,torch.float32,0.001757,111.389592
5120,5120,5120,1,torch.float32,0.002424,110.752687
5632,5632,5632,1,torch.float32,0.003196,111.791929
6144,6144,6144,1,torch.float32,0.004180,110.976807
6656,6656,6656,1,torch.float32,0.005349,110.253494
7168,7168,7168,1,torch.float32,0.006695,110.027870
7680,7680,7680,1,torch.float32,0.008126,111.487133
8192,8192,8192,1,torch.float32,0.009707,113.266646
8704,8704,8704,1,torch.float32,0.011760,112.149014
9216,9216,9216,1,torch.float32,0.013642,114.760929
9728,9728,9728,1,torch.float32,0.016159,113.942799
10240,10240,10240,1,torch.float32,0.018850,113.923291
10752,10752,10752,1,torch.float32,0.021744,114.332103
11264,11264,11264,1,torch.float32,0.026797,106.666937
11776,11776,11776,1,torch.float32,0.030482,107.148044
12288,12288,12288,1,torch.float32,0.034516,107.509536
12800,12800,12800,1,torch.float32,0.038867,107.913521
13312,13312,13312,1,torch.float32,0.043599,108.213722
13824,13824,13824,1,torch.float32,0.048694,108.507560
14336,14336,14336,1,torch.float32,0.054166,108.790290
14848,14848,14848,1,torch.float32,0.060059,109.007173
15360,15360,15360,1,torch.float32,0.066280,109.350029
15872,15872,15872,1,torch.float32,0.072907,109.686466
16384,16384,16384,1,torch.float32,0.080083,109.836935
16896,16896,16896,1,torch.float32,0.087752,109.932234
17408,17408,17408,1,torch.float32,0.095792,110.140967
17920,17920,17920,1,torch.float32,0.104365,110.277940
18432,18432,18432,1,torch.float32,0.113392,110.449483
18944,18944,18944,1,torch.float32,0.122917,110.619523
19456,19456,19456,1,torch.float32,0.134086,109.851545
19968,19968,19968,1,torch.float32,0.143390,111.048933

512,512,512,1,torch.float16,0.000025,10.539776
1024,1024,1024,1,torch.float16,0.000029,74.580318
1536,1536,1536,1,torch.float16,0.000045,162.059266
2048,2048,2048,1,torch.float16,0.000102,168.041031
2560,2560,2560,1,torch.float16,0.000172,194.876893
3072,3072,3072,1,torch.float16,0.000301,192.874001
3584,3584,3584,1,torch.float16,0.000426,216.074929
4096,4096,4096,1,torch.float16,0.000645,213.075508
4608,4608,4608,1,torch.float16,0.000866,225.910073
5120,5120,5120,1,torch.float16,0.001196,224.409478
5632,5632,5632,1,torch.float16,0.001569,227.726289
6144,6144,6144,1,torch.float16,0.002085,222.475585
6656,6656,6656,1,torch.float16,0.002653,222.305747
7168,7168,7168,1,torch.float16,0.003328,221.330447
7680,7680,7680,1,torch.float16,0.004036,224.465815
8192,8192,8192,1,torch.float16,0.004828,227.745549
8704,8704,8704,1,torch.float16,0.006690,197.147355
9216,9216,9216,1,torch.float16,0.006831,229.174255
9728,9728,9728,1,torch.float16,0.008081,227.852721
10240,10240,10240,1,torch.float16,0.009417,228.053071
10752,10752,10752,1,torch.float16,0.010868,228.750404
11264,11264,11264,1,torch.float16,0.012464,229.320601
11776,11776,11776,1,torch.float16,0.014335,227.831758
12288,12288,12288,1,torch.float16,0.016152,229.744268
12800,12800,12800,1,torch.float16,0.018334,228.766002
13312,13312,13312,1,torch.float16,0.020606,228.967299
13824,13824,13824,1,torch.float16,0.022848,231.255671
14336,14336,14336,1,torch.float16,0.025648,229.753313
14848,14848,14848,1,torch.float16,0.028445,230.162205
15360,15360,15360,1,torch.float16,0.030834,235.055352
15872,15872,15872,1,torch.float16,0.034027,235.019126
16384,16384,16384,1,torch.float16,0.037340,235.564766
16896,16896,16896,1,torch.float16,0.040918,235.756847
17408,17408,17408,1,torch.float16,0.044737,235.833418
17920,17920,17920,1,torch.float16,0.048843,235.634523
18432,18432,18432,1,torch.float16,0.054771,228.663098
18944,18944,18944,1,torch.float16,0.059392,228.936525
19456,19456,19456,1,torch.float16,0.064268,229.191864
19968,19968,19968,1,torch.float16,0.069444,229.296416

512,512,512,128,torch.float32,0.000446,77.053318
1024,1024,1024,128,torch.float32,0.002910,94.446440
1536,1536,1536,128,torch.float32,0.009432,98.361975
2048,2048,2048,128,torch.float32,0.022309,98.570904
2560,2560,2560,128,torch.float32,0.043638,98.422207
3072,3072,3072,128,torch.float32,0.075798,97.913813
3584,3584,3584,128,torch.float32,0.119153,98.909441
4096,4096,4096,128,torch.float32,0.196789,89.395989

512,512,512,128,torch.float16,0.000209,164.193266
1024,1024,1024,128,torch.float16,0.001326,207.246358
1536,1536,1536,128,torch.float16,0.004317,214.904445
2048,2048,2048,128,torch.float16,0.009956,220.871916
2560,2560,2560,128,torch.float16,0.019314,222.371033
3072,3072,3072,128,torch.float16,0.033035,224.661197
3584,3584,3584,128,torch.float16,0.052261,225.508206
4096,4096,4096,128,torch.float16,0.078701,223.532949
4608,4608,4608,128,torch.float16,0.114844,218.105851
5120,5120,5120,128,torch.float16,0.158283,217.078219
